Date,Open,High,Low,Close,Volume,Adj Close
2016-11-15,58.330002,59.490002,58.32,58.869999,34764300,58.869999
2016-11-14,59.02,59.080002,57.279999,58.119999,41328400,57.73
2016-11-11,58.23,59.119999,58.009998,59.02,38767800,58.623963
2016-11-10,60.48,60.490002,57.630001,58.700001,57822400,58.30611
2016-11-09,60.00,60.59,59.200001,60.169998,49632500,59.766244
2016-11-08,60.549999,60.779999,60.150002,60.470001,22935400,60.064234
2016-11-07,59.779999,60.52,59.779999,60.419998,31664800,60.014566
2016-11-04,58.650002,59.279999,58.52,58.709999,28697000,58.316041
2016-11-03,59.529999,59.639999,59.110001,59.209999,21600400,58.812686
2016-11-02,59.82,59.93,59.299999,59.43,22147000,59.031211
2016-11-01,59.970001,60.02,59.25,59.799999,24533000,59.398727
2016-10-31,60.16,60.419998,59.919998,59.919998,26434700,59.517921
2016-10-28,60.009998,60.52,59.580002,59.869999,33574700,59.468257
2016-10-27,60.610001,60.830002,60.09,60.099998,28479900,59.696714
2016-10-26,60.810001,61.200001,60.470001,60.630001,29911600,60.22316
2016-10-25,60.849998,61.369999,60.799999,60.990002,35137200,60.580745
2016-10-24,59.939999,61.00,59.93,61.00,54067000,60.590676
2016-10-21,60.279999,60.450001,59.490002,59.66,80032200,59.259667
2016-10-20,57.50,57.52,56.66,57.25,49455600,56.865839
2016-10-19,57.470001,57.84,57.400002,57.529999,22878400,57.143959
2016-10-18,57.529999,57.950001,57.41,57.66,19149500,57.273088
2016-10-17,57.360001,57.459999,56.869999,57.220001,23830000,56.836042
